company,title,gender,race,bins,country,region,totalyearlycompensation,yearsofexperience,yearsatcompany,education
Goldman Sachs,Software Engineer,Male,Asian,L5,USA,USA,155000,2.0,0.0,4.0
other,Product Designer,Female,White,L5,USA,USA,80000,3.0,3.0,3.0
Goldman Sachs,Software Engineer,Other,Unknown,L5,USA,USA,190000,5.0,2.0,4.0
other,Software Engineer,Female,White,L5,United Kingdom,UK&IRE,98000,3.0,3.0,3.0
other,Software Engineer,Male,White,L5,USA,USA,77000,1.0,1.0,3.0
other,Business Analyst,Other,Unknown,L5,USA,USA,155000,2.0,2.0,3.0
other,Software Engineer,Male,Asian,L5,USA,USA,96000,1.0,1.0,3.0
other,Management Consultant,Other,Unknown,L5,Japan,Eastern Asia,70000,5.0,2.0,4.0
Goldman Sachs,Software Engineer,Other,Unknown,L5,India,India,48000,3.0,3.0,3.0
Goldman Sachs,Software Engineer,Other,Unknown,L5,USA,USA,208000,3.0,0.0,4.0
Goldman Sachs,Software Engineer,Other,Unknown,L5,United Kingdom,UK&IRE,139000,4.0,2.0,4.0
other,Software Engineer,Female,Asian,L5,USA,USA,180000,5.0,2.0,4.0
other,Product Manager,Male,Asian,L5,Singapore,South-Eastern Asia,51000,4.0,1.0,3.0
JPMorgan Chase,Software Engineer,Male,Asian,L5,India,India,26000,3.0,3.0,3.0
Goldman Sachs,Software Engineer,Male,Black,L5,United Kingdom,UK&IRE,98000,3.0,3.0,3.0
other,Management Consultant,Other,Unknown,L5,USA,USA,60000,5.0,1.0,4.0
other,Business Analyst,Other,Unknown,L5,USA,USA,130000,6.0,6.0,4.0
Goldman Sachs,Software Engineer,Female,Asian,L5,USA,USA,140000,2.0,0.0,4.0
Capital One,Product Manager,Male,White,L5,USA,USA,95000,0.0,0.0,3.0
other,Solution Architect,Male,Two Or More,L5,USA,USA,112000,6.0,2.0,3.0
other,Software Engineer,Male,Asian,L5,USA,USA,155000,6.0,4.0,4.0
Goldman Sachs,Software Engineer,Male,White,L5,Poland,Eastern Europe,80000,4.0,2.0,4.0
other,Data Scientist,Male,White,L5,USA,USA,120000,5.0,0.0,3.0
Goldman Sachs,Software Engineer,Male,Unknown,L5,USA,USA,180000,6.0,0.0,4.0
other,Data Scientist,Male,Unknown,L5,USA,USA,81000,0.0,0.0,3.0
JPMorgan Chase,Software Engineer,Male,White,L5,USA,USA,115000,3.0,3.0,3.0
other,Product Manager,Male,Asian,L5,USA,USA,75000,0.0,0.0,3.0
other,Product Manager,Male,Asian,L5,USA,USA,75000,0.0,0.0,3.0
Goldman Sachs,Software Engineer,Male,Unknown,L5,India,India,46000,3.0,2.0,3.0
JPMorgan Chase,Business Analyst,Female,Asian,L5,USA,USA,85000,3.0,1.0,4.0
other,Software Engineer,Other,Unknown,L5,USA,USA,160000,5.0,3.0,4.0
other,Management Consultant,Male,White,L5,Germany,Western Europe,120000,4.0,1.0,4.0
JPMorgan Chase,Software Engineer,Male,Asian,L5,India,India,23000,4.0,4.0,3.0
other,Software Engineer,Other,Unknown,L5,USA,USA,77000,0.0,0.0,3.0
Goldman Sachs,Software Engineer,Male,Asian,L5,USA,USA,230000,4.0,0.0,4.0
JPMorgan Chase,Data Scientist,Other,Unknown,L5,Hong Kong (SAR),Eastern Asia,160000,1.0,1.0,4.0
other,Management Consultant,Male,Asian,L5,USA,USA,118000,1.0,1.0,3.0
other,Data Scientist,Other,Unknown,L5,USA,USA,120000,6.0,1.0,4.0
other,Software Engineer,Other,Unknown,L5,USA,USA,78000,0.0,0.0,3.0
other,Product Manager,Female,Asian,L5,USA,USA,140000,4.0,0.0,3.0
other,Software Engineering Manager,Other,Unknown,L5,India,India,28000,3.0,3.0,3.0
JPMorgan Chase,Software Engineer,Other,Unknown,L5,USA,USA,170000,2.0,0.0,3.0
other,Product Manager,Male,Asian,L5,USA,USA,130000,4.0,2.0,4.0
other,Software Engineer,Male,Asian,L5,USA,USA,154000,12.0,2.0,3.0
other,Software Engineer,Other,Unknown,L5,USA,USA,220000,4.0,3.0,3.0
other,Software Engineer,Female,Asian,L5,USA,USA,325000,1.0,1.0,3.0
other,Software Engineer,Other,Unknown,L5,USA,USA,116000,11.0,1.0,4.0
Goldman Sachs,Software Engineer,Male,Asian,L5,USA,USA,200000,3.0,1.0,3.0
Goldman Sachs,Software Engineer,Other,Unknown,L5,USA,USA,197000,4.0,1.0,4.0
other,Software Engineer,Male,Asian,L5,Canada,Canada,103000,8.0,3.0,3.0
other,Software Engineer,Male,White,L5,USA,USA,142000,1.0,1.0,3.0
JPMorgan Chase,Software Engineer,Other,Unknown,L5,USA,USA,122000,3.0,3.0,4.0
Goldman Sachs,Software Engineer,Other,Unknown,L5,USA,USA,190000,4.0,0.0,4.0
other,Product Manager,Female,Asian,L5,USA,USA,65000,1.0,1.0,3.0
other,Software Engineer,Other,Unknown,L5,USA,USA,400000,5.0,1.0,4.0
other,Management Consultant,Female,White,L5,USA,USA,104000,1.0,0.0,3.0
other,Software Engineer,Male,Two Or More,L5,USA,USA,115000,3.0,1.0,3.0
other,Data Scientist,Male,Asian,L5,USA,USA,190000,0.0,0.0,5.0
other,Software Engineer,Other,Unknown,L5,United Kingdom,UK&IRE,65000,4.0,4.0,3.0
other,Management Consultant,Male,White,L5,USA,USA,91000,2.0,2.0,3.0
Goldman Sachs,Software Engineer,Other,Unknown,L5,India,India,41000,4.0,3.0,4.0
JPMorgan Chase,Software Engineer,Female,White,L5,USA,USA,127000,3.0,3.0,3.0
other,Product Manager,Other,Unknown,L5,USA,USA,158000,3.0,3.0,3.0
other,Software Engineer,Male,Asian,L5,USA,USA,75000,1.0,0.0,4.0
other,Management Consultant,Other,Unknown,L5,USA,USA,106000,0.0,0.0,3.0
other,Software Engineer,Male,Two Or More,L5,United Kingdom,UK&IRE,100000,4.0,0.0,3.0
other,Management Consultant,Male,White,L5,USA,USA,129000,8.0,3.0,4.0
other,Business Analyst,Male,Asian,L5,USA,USA,83000,3.0,2.0,4.0
other,Management Consultant,Male,Unknown,L5,USA,USA,183000,4.0,0.0,4.0
other,Software Engineer,Male,Asian,L5,USA,USA,170000,6.0,6.0,3.0
other,Management Consultant,Female,White,L3,USA,USA,73000,2.0,1.0,3.0
other,Management Consultant,Male,Asian,L3,USA,USA,78000,2.0,2.0,3.0
other,Software Engineer,Other,Unknown,L3,USA,USA,95000,0.0,0.0,3.0
other,Software Engineer,Other,Unknown,L3,USA,USA,88000,3.0,2.0,3.0
other,Software Engineer,Male,White,L3,USA,USA,85000,0.0,0.0,3.0
other,Business Analyst,Other,Unknown,L4,USA,USA,115000,3.0,3.0,4.0
other,Management Consultant,Male,Two Or More,L3,USA,USA,87000,1.0,1.0,3.0
